# Shot 159243 from 350ms - 550ms
#shot          time          q0            q95           ip            cerqrott1     betan         cerqrott6     
159243        350.0         0.565695      0.578707      5.19935       8.59892       20.2461       -6.03603      
159243        351.0         0.565741      0.578707      5.19935       8.59892       20.2461       -6.03603      
159243        352.0         0.565668      0.578707      5.19935       8.59892       20.1113       -6.3063       
159243        353.0         0.565704      0.578707      5.19935       8.59892       20.1113       -6.3063       
159243        354.0         0.565732      0.578707      5.19935       8.59892       20.1787       -6.58783      
159243        355.0         0.565835      0.578707      5.19935       8.59892       20.1787       -6.58783      
159243        356.0         0.565947      0.578707      5.19935       8.59892       20.1787       -6.58783      
159243        357.0         0.566116      0.578707      5.19935       8.59892       20.2349       -6.65539      
159243        358.0         0.566229      0.638082      4.01661       8.52978       20.2349       -6.65539      
159243        359.0         0.566423      0.638082      4.01661       8.52978       19.6169       -6.91439      
159243        360.0         0.566932      0.638082      4.01661       8.52978       19.6169       -6.91439      
159243        361.0         0.56782       0.638082      4.01661       8.52978       19.6169       -6.91439      
159243        362.0         0.56852       0.638082      4.01661       8.52978       18.9428       -7.24096      
159243        363.0         0.569387      0.638082      4.01661       8.52978       18.9428       -7.24096      
159243        364.0         0.570172      0.638082      4.01661       8.52978       18.2125       -7.80401      
159243        365.0         0.571242      0.638082      4.01661       8.52978       18.2125       -7.80401      
159243        366.0         0.572557      0.638082      4.01661       8.52978       18.2125       -7.80401      
159243        367.0         0.573924      0.638082      4.01661       8.52978       17.4485       -8.20942      
159243        368.0         0.575582      0.638082      4.01661       8.52978       17.4485       -8.20942      
159243        369.0         0.577134      0.638082      4.01661       8.52978       16.6733       -8.63734      
159243        370.0         0.578589      0.638082      4.01661       8.52978       16.6733       -8.63734      
159243        371.0         0.580274      0.638082      4.01661       8.52978       16.6733       -8.63734      
159243        372.0         0.581608      0.638082      4.01661       8.52978       15.7295       -8.89635      
159243        373.0         0.583293      0.638082      4.01661       8.52978       15.7295       -8.89635      
159243        374.0         0.584973      0.638082      4.01661       8.52978       14.5947       -8.98644      
159243        375.0         0.58673       0.638082      4.01661       8.52978       14.5947       -8.98644      
159243        376.0         0.588288      0.638082      4.01661       8.52978       14.5947       -8.98644      
159243        377.0         0.590013      0.638082      4.01661       8.52978       13.7409       -9.20038      
159243        378.0         0.591816      0.638082      4.01661       8.52978       13.7409       -9.20038      
159243        379.0         0.593323      0.638082      4.01661       8.52978       11.9769       -9.30173      
159243        380.0         0.594751      0.638082      4.01661       8.52978       11.9769       -9.30173      
159243        381.0         0.596248      0.638082      4.01661       8.52978       11.9769       -9.30173      
159243        382.0         0.597748      0.638082      4.01661       8.52978       10.3815       -9.34677      
159243        383.0         0.599424      0.638082      4.01661       8.52978       10.3815       -9.34677      
159243        384.0         0.601125      0.638082      4.01661       8.52978       8.79731       -9.44811      
159243        385.0         0.602804      0.638082      4.01661       8.52978       8.79731       -9.44811      
159243        386.0         0.604135      0.638082      4.01661       8.52978       8.79731       -9.44811      
159243        387.0         0.605317      0.638082      4.01661       8.52978       7.112         -9.58326      
159243        388.0         0.606508      0.638082      4.01661       8.52978       7.112         -9.58326      
159243        389.0         0.607478      0.638082      4.01661       8.52978       6.01094       -9.36929      
159243        390.0         0.608551      0.638082      4.01661       8.52978       6.01094       -9.36929      
159243        391.0         0.60946       0.638082      4.01661       8.52978       6.01094       -9.36929      
159243        392.0         0.610566      0.638082      4.01661       8.52978       4.70764       -9.15533      
159243        393.0         0.611806      0.638082      4.01661       8.52978       4.70764       -9.15533      
159243        394.0         0.61274       0.638082      4.01661       8.52978       3.64028       -8.90758      
159243        395.0         0.614143      0.638082      4.01661       8.52978       3.64028       -8.90758      
159243        396.0         0.615064      0.638082      4.01661       8.52978       3.64028       -8.90758      
159243        397.0         0.615974      0.638082      4.01661       8.52978       2.52797       -8.64858      
159243        398.0         0.617065      0.638082      4.01661       8.52978       2.52797       -8.64858      
159243        399.0         0.617935      0.638082      4.01661       8.52978       1.49432       -8.49093      
159243        400.0         0.618811      0.638082      4.01661       8.52978       1.49432       -8.49093      
159243        401.0         0.619699      0.638082      4.01661       8.52978       1.49432       -8.49093      
159243        402.0         0.62082       0.638082      4.01661       8.52978       0.662916      -8.581        
159243        403.0         0.621508      0.6332        4.13258       7.819         0.662916      -8.581        
159243        404.0         0.62233       0.6332        4.13258       7.819         -0.662865     -8.7274       
159243        405.0         0.623482      0.6332        4.13258       7.819         -0.662865     -8.7274       
159243        406.0         0.62437       0.6332        4.13258       7.819         -0.662865     -8.7274       
159243        407.0         0.625458      0.6332        4.13258       7.819         -1.42688      -9.00893      
159243        408.0         0.626467      0.6332        4.13258       7.819         -1.42688      -9.00893      
159243        409.0         0.627434      0.6332        4.13258       7.819         -2.39312      -9.17784      
159243        410.0         0.628337      0.6332        4.13258       7.819         -2.39312      -9.17784      
159243        411.0         0.629319      0.6332        4.13258       7.819         -2.39312      -9.17784      
159243        412.0         0.630474      0.6332        4.13258       7.819         -3.47172      -9.30171      
159243        413.0         0.631644      0.6332        4.13258       7.819         -3.47172      -9.30171      
159243        414.0         0.632608      0.6332        4.13258       7.819         -3.98856      -9.29044      
159243        415.0         0.633469      0.6332        4.13258       7.819         -3.98856      -9.29044      
159243        416.0         0.634615      0.6332        4.13258       7.819         -3.98856      -9.29044      
159243        417.0         0.635712      0.6332        4.13258       7.819         -4.88739      -9.62828      
159243        418.0         0.636579      0.6332        4.13258       7.819         -4.88739      -9.62828      
159243        419.0         0.637506      0.6332        4.13258       7.819         -5.71879      -9.81971      
159243        420.0         0.638255      0.6332        4.13258       7.819         -5.71879      -9.81971      
159243        421.0         0.63911       0.6332        4.13258       7.819         -5.71879      -9.81971      
159243        422.0         0.640201      0.6332        4.13258       7.819         -6.69628      -10.1012      
159243        423.0         0.641165      0.6332        4.13258       7.819         -6.69628      -10.1012      
159243        424.0         0.642313      0.6332        4.13258       7.819         -7.61759      -10.3602      
159243        425.0         0.643265      0.6332        4.13258       7.819         -7.61759      -10.3602      
159243        426.0         0.644302      0.6332        4.13258       7.819         -7.61759      -10.3602      
159243        427.0         0.645138      0.6332        4.13258       7.819         -8.41531      -10.5292      
159243        428.0         0.645966      0.628318      4.24856       7.10822       -8.41531      -10.5292      
159243        429.0         0.647205      0.628318      4.24856       7.10822       -9.41525      -10.5179      
159243        430.0         0.648006      0.628318      4.24856       7.10822       -9.41525      -10.5179      
159243        431.0         0.649012      0.628318      4.24856       7.10822       -9.41525      -10.5179      
159243        432.0         0.649903      0.628318      4.24856       7.10822       -10.2579      -10.4053      
159243        433.0         0.651         0.628318      4.24856       7.10822       -10.2579      -10.4053      
159243        434.0         0.65164       0.628318      4.24856       7.10822       -11.3028      -10.1575      
159243        435.0         0.652404      0.628318      4.24856       7.10822       -11.3028      -10.1575      
159243        436.0         0.653119      0.628318      4.24856       7.10822       -11.3028      -10.1575      
159243        437.0         0.653804      0.628318      4.24856       7.10822       -12.314       -10.0449      
159243        438.0         0.654568      0.628318      4.24856       7.10822       -12.314       -10.0449      
159243        439.0         0.655332      0.628318      4.24856       7.10822       -13.4487      -9.99989      
159243        440.0         0.656232      0.628318      4.24856       7.10822       -13.4487      -9.99989      
159243        441.0         0.657059      0.628318      4.24856       7.10822       -13.4487      -9.99989      
159243        442.0         0.657766      0.628318      4.24856       7.10822       -15.0329      -9.97738      
159243        443.0         0.658557      0.628318      4.24856       7.10822       -15.0329      -9.97738      
159243        444.0         0.659314      0.628318      4.24856       7.10822       -16.5946      -9.87604      
159243        445.0         0.660081      0.628318      4.24856       7.10822       -16.5946      -9.87604      
159243        446.0         0.660572      0.628318      4.24856       7.10822       -16.5946      -9.87604      
159243        447.0         0.661009      0.628318      4.24856       7.10822       -18.0889      -9.88729      
159243        448.0         0.661603      0.628318      4.24856       7.10822       -18.0889      -9.88729      
159243        449.0         0.662112      0.628318      4.24856       7.10822       -19.4597      -9.72964      
159243        450.0         0.662636      0.628318      4.24856       7.10822       -19.4597      -9.72964      
159243        451.0         0.663303      0.628318      4.24856       7.10822       -19.4597      -9.72964      
159243        452.0         0.664267      0.628318      4.24856       7.10822       -20.8079      -9.52693      
159243        453.0         0.665216      0.628318      4.24856       7.10822       -20.8079      -9.52693      
159243        454.0         0.665907      0.628318      4.24856       7.10822       -22.4033      -9.49315      
159243        455.0         0.666458      0.628318      4.24856       7.10822       -22.4033      -9.49315      
159243        456.0         0.66714       0.628318      4.24856       7.10822       -22.4033      -9.49315      
159243        457.0         0.667774      0.628318      4.24856       7.10822       -23.8976      -9.35802      
159243        458.0         0.668311      0.628318      4.24856       7.10822       -23.8976      -9.35802      
159243        459.0         0.668829      0.628318      4.24856       7.10822       -25.3357      -9.45938      
159243        460.0         0.669584      0.628318      4.24856       7.10822       -25.3357      -9.45938      
159243        461.0         0.670317      0.628318      4.24856       7.10822       -25.3357      -9.45938      
159243        462.0         0.671232      0.628318      4.24856       7.10822       -26.6278      -9.69587      
159243        463.0         0.671914      0.640246      4.02566       7.03735       -26.6278      -9.69587      
159243        464.0         0.67273       0.640246      4.02566       7.03735       -27.7513      -9.86479      
159243        465.0         0.673669      0.640246      4.02566       7.03735       -27.7513      -9.86479      
159243        466.0         0.674436      0.640246      4.02566       7.03735       -27.7513      -9.86479      
159243        467.0         0.675073      0.640246      4.02566       7.03735       -28.6726      -10.0562      
159243        468.0         0.675882      0.640246      4.02566       7.03735       -28.6726      -10.0562      
159243        469.0         0.676655      0.640246      4.02566       7.03735       -29.2906      -10.2139      
159243        470.0         0.677582      0.640246      4.02566       7.03735       -29.2906      -10.2139      
159243        471.0         0.678352      0.640246      4.02566       7.03735       -29.2906      -10.2139      
159243        472.0         0.679525      0.640246      4.02566       7.03735       -29.9198      -10.3265      
159243        473.0         0.680244      0.640246      4.02566       7.03735       -29.9198      -10.3265      
159243        474.0         0.681395      0.640246      4.02566       7.03735       -30.5714      -10.3152      
159243        475.0         0.682305      0.640246      4.02566       7.03735       -30.5714      -10.3152      
159243        476.0         0.683196      0.640246      4.02566       7.03735       -30.5714      -10.3152      
159243        477.0         0.683781      0.640246      4.02566       7.03735       -31.0657      -10.4841      
159243        478.0         0.684251      0.640246      4.02566       7.03735       -31.0657      -10.4841      
159243        479.0         0.684775      0.640246      4.02566       7.03735       -31.796       -10.7769      
159243        480.0         0.685503      0.640246      4.02566       7.03735       -31.796       -10.7769      
159243        481.0         0.6865        0.640246      4.02566       7.03735       -31.796       -10.7769      
159243        482.0         0.687764      0.640246      4.02566       7.03735       -32.2117      -10.9684      
159243        483.0         0.68897       0.639065      4.12832       6.92613       -32.2117      -10.9684      
159243        484.0         0.69034       0.639065      4.12832       6.92613       -32.9421      -11.1711      
159243        485.0         0.691365      0.639065      4.12832       6.92613       -32.9421      -11.1711      
159243        486.0         0.692265      0.639065      4.12832       6.92613       -32.9421      -11.1711      
159243        487.0         0.693107      0.639065      4.12832       6.92613       -33.515       -11.2724      
159243        488.0         0.693962      0.644439      4.0682        6.83509       -33.515       -11.2724      
159243        489.0         0.694732      0.644439      4.0682        6.83509       -33.9645      -11.126       
159243        490.0         0.695468      0.644439      4.0682        6.83509       -33.9645      -11.126       
159243        491.0         0.696496      0.644439      4.0682        6.83509       -33.9645      -11.126       
159243        492.0         0.697326      0.644439      4.0682        6.83509       -34.5375      -11.1148      
159243        493.0         0.698284      0.644439      4.0682        6.83509       -34.5375      -11.1148      
159243        494.0         0.69909       0.644439      4.0682        6.83509       -35.1779      -10.9121      
159243        495.0         0.700003      0.644439      4.0682        6.83509       -35.1779      -10.9121      
159243        496.0         0.701146      0.644439      4.0682        6.83509       -35.1779      -10.9121      
159243        497.0         0.701855      0.644439      4.0682        6.83509       -35.9868      -10.7544      
159243        498.0         0.702819      0.644439      4.0682        6.83509       -35.9868      -10.7544      
159243        499.0         0.703646      0.644439      4.0682        6.83509       -36.6947      -10.5855      
159243        500.0         0.704643      0.644439      4.0682        6.83509       -36.6947      -10.5855      
159243        501.0         0.705598      0.644439      4.0682        6.83509       -36.6947      -10.5855      
159243        502.0         0.706429      0.644439      4.0682        6.83509       -37.5822      -10.3715      
159243        503.0         0.707608      0.65059       4.13817       6.74409       -37.5822      -10.3715      
159243        504.0         0.708778      0.65059       4.13817       6.74409       -38.6945      -10.0787      
159243        505.0         0.709817      0.65059       4.13817       6.74409       -38.6945      -10.0787      
159243        506.0         0.710678      0.65059       4.13817       6.74409       -38.6945      -10.0787      
159243        507.0         0.711221      0.65059       4.13817       6.74409       -39.4473      -9.71837      
159243        508.0         0.712115      0.649798      4.30587       6.6329        -39.4473      -9.71837      
159243        509.0         0.712924      0.649798      4.30587       6.6329        -40.3686      -9.44811      
159243        510.0         0.713846      0.649798      4.30587       6.6329        -40.3686      -9.44811      
159243        511.0         0.714749      0.649798      4.30587       6.6329        -40.3686      -9.44811      
159243        512.0         0.715522      0.649798      4.30587       6.6329        -41.0203      -9.26793      
159243        513.0         0.716598      0.649798      4.30587       6.6329        -41.0203      -9.26793      
